Job ID,Job Role,Disability,Skills Required,Work Mode,Salary (INR),Workplace Accessibility,Workplace Location
528,Customer Support,Visual Impairment,"Writing, Editing",Remote,1474449,Remote Work Possible,Chennai
529,Content Writer,Mental Health Condition,"Agile, Scrum",Remote,628317,Flexible Hours,Hyderabad
530,Data Analyst,Attention Deficit Hyperactivity Disorder,"Adobe Photoshop, Illustrator",Remote,562838,Remote Work Possible,Delhi
531,Software Engineer,Hearing Impairment,"SEO, Social Media Marketing",Hybrid,994631,Remote Work Possible,Pune
532,Teacher,Chronic Pain Condition,"Teaching, Curriculum Planning",On-site,572203,Flexible Hours,Pune
533,Marketing Manager,Chronic Pain Condition,"Adobe Photoshop, Illustrator",Remote,372622,Quiet Workspace,Ahmedabad
534,Graphic Designer,Mental Health Condition,"Networking, Security",Hybrid,979395,Flexible Hours,Kolkata
535,Teacher,Chronic Illness,"Excel, Power BI",Remote,629153,Braille Support,Delhi
536,Cybersecurity Analyst,Chronic Illness,"Excel, Power BI",Hybrid,1138981,Remote Work Possible,Ahmedabad
537,Data Analyst,Neurological Disorder,"Python, SQL",Remote,543284,Assistive Technology,Jaipur
538,Customer Support,Chronic Illness,"Communication, Problem-Solving",On-site,745592,Voice-to-Text Software,Kolkata
539,Cybersecurity Analyst,Autism Spectrum Disorder,"Teaching, Curriculum Planning",Hybrid,1442081,Sign Language Interpreter,Bangalore
540,Graphic Designer,Hearing Impairment,"Adobe Photoshop, Illustrator",On-site,1294759,Wheelchair Access,Chennai
541,Software Engineer,Speech Impairment,"Writing, Editing",Hybrid,1424096,Braille Support,Mumbai
542,Content Writer,Autism Spectrum Disorder,"Teaching, Curriculum Planning",On-site,1305970,Sign Language Interpreter,Mumbai
543,Marketing Manager,Cognitive Impairment,"Agile, Scrum",Hybrid,745180,Remote Work Possible,Bangalore
544,Cybersecurity Analyst,Chronic Pain Condition,"Writing, Editing",On-site,733281,Sign Language Interpreter,Kolkata
545,Project Manager,Speech Impairment,"Python, SQL",On-site,763640,Voice-to-Text Software,Mumbai
546,Customer Support,Learning Disability,"Writing, Editing",Remote,1363307,Remote Work Possible,Pune
547,Customer Support,Chronic Illness,"Teaching, Curriculum Planning",Hybrid,1197612,Voice-to-Text Software,Ahmedabad
548,Data Analyst,Cognitive Impairment,"Teaching, Curriculum Planning",On-site,1068555,Braille Support,Hyderabad
549,Data Analyst,Physical Disability,"SEO, Social Media Marketing",Hybrid,727520,Voice-to-Text Software,Bangalore
550,HR Executive,Learning Disability,"SEO, Social Media Marketing",Remote,1371742,Flexible Hours,Delhi
551,Software Engineer,Motor Coordination Disorder,"Recruitment, Employee Relations",Remote,1383333,Remote Work Possible,Bangalore
552,Customer Support,Visual Impairment,"Excel, Power BI",On-site,813524,Remote Work Possible,Mumbai
553,Teacher,Cognitive Impairment,"SEO, Social Media Marketing",Hybrid,499367,Remote Work Possible,Ahmedabad
554,Data Analyst,Learning Disability,"Excel, Power BI",On-site,711091,Flexible Hours,Bangalore
555,HR Executive,Cognitive Impairment,"Networking, Security",Hybrid,806324,Remote Work Possible,Pune
556,Cybersecurity Analyst,Learning Disability,"Agile, Scrum",On-site,552033,Assistive Technology,Mumbai
557,Graphic Designer,Neurological Disorder,"Agile, Scrum",On-site,673842,Remote Work Possible,Bangalore
558,Cybersecurity Analyst,Hearing Impairment,"Recruitment, Employee Relations",Hybrid,623828,Quiet Workspace,Delhi
559,Software Engineer,Attention Deficit Hyperactivity Disorder,"Writing, Editing",On-site,1421240,Assistive Technology,Jaipur
560,Data Analyst,Neurological Disorder,"Excel, Power BI",Hybrid,1428860,Assistive Technology,Pune
561,Content Writer,Chronic Illness,"Networking, Security",On-site,783936,Wheelchair Access,Jaipur
562,Software Engineer,Autism Spectrum Disorder,"Writing, Editing",Hybrid,1246751,Flexible Hours,Hyderabad
563,Teacher,Cognitive Impairment,"Communication, Problem-Solving",Remote,726630,Wheelchair Access,Mumbai
564,Graphic Designer,Chronic Pain Condition,"Adobe Photoshop, Illustrator",Remote,697945,Remote Work Possible,Ahmedabad
565,Teacher,Attention Deficit Hyperactivity Disorder,"Networking, Security",Remote,1456577,Wheelchair Access,Kolkata
566,Software Engineer,Physical Disability,"Adobe Photoshop, Illustrator",Hybrid,470161,Quiet Workspace,Delhi
567,Marketing Manager,Chronic Pain Condition,"Agile, Scrum",Remote,875459,Voice-to-Text Software,Ahmedabad
568,HR Executive,Cognitive Impairment,"Python, SQL",On-site,464676,Braille Support,Lucknow
569,HR Executive,Attention Deficit Hyperactivity Disorder,"Networking, Security",On-site,706008,Braille Support,Pune
570,Graphic Designer,Neurological Disorder,"Teaching, Curriculum Planning",On-site,900578,Braille Support,Hyderabad
571,Graphic Designer,Chronic Pain Condition,"Agile, Scrum",Hybrid,920443,Assistive Technology,Mumbai
572,Teacher,Chronic Pain Condition,"Adobe Photoshop, Illustrator",Remote,491117,Voice-to-Text Software,Jaipur
573,Cybersecurity Analyst,Cognitive Impairment,"Recruitment, Employee Relations",Remote,610389,Remote Work Possible,Lucknow
574,Graphic Designer,Hearing Impairment,"Adobe Photoshop, Illustrator",On-site,547085,Remote Work Possible,Chennai
575,Marketing Manager,Motor Coordination Disorder,"Python, SQL",On-site,1314222,Remote Work Possible,Mumbai
576,Teacher,Cognitive Impairment,"Agile, Scrum",Hybrid,1152074,Assistive Technology,Chennai
577,Software Engineer,Physical Disability,"Recruitment, Employee Relations",On-site,413294,Wheelchair Access,Delhi
578,HR Executive,Attention Deficit Hyperactivity Disorder,"Python, SQL",On-site,1232191,Wheelchair Access,Ahmedabad
579,Graphic Designer,Speech Impairment,"Recruitment, Employee Relations",Remote,354080,Flexible Hours,Bangalore
580,Software Engineer,Neurological Disorder,"Writing, Editing",On-site,1012154,Flexible Hours,Hyderabad
581,Cybersecurity Analyst,Mental Health Condition,"Recruitment, Employee Relations",Remote,363960,Flexible Hours,Ahmedabad
582,HR Executive,Speech Impairment,"Python, SQL",On-site,949123,Wheelchair Access,Mumbai
583,Project Manager,Neurological Disorder,"Excel, Power BI",Hybrid,559889,Voice-to-Text Software,Kolkata
584,Software Engineer,Chronic Illness,"Recruitment, Employee Relations",Remote,567091,Wheelchair Access,Jaipur
585,Software Engineer,Neurological Disorder,"Adobe Photoshop, Illustrator",Hybrid,1391232,Quiet Workspace,Ahmedabad
586,Cybersecurity Analyst,Motor Coordination Disorder,"Teaching, Curriculum Planning",On-site,1328126,Flexible Hours,Mumbai
587,Software Engineer,Visual Impairment,"Excel, Power BI",On-site,1123217,Braille Support,Ahmedabad
588,Data Analyst,Speech Impairment,"Adobe Photoshop, Illustrator",Hybrid,946072,Voice-to-Text Software,Delhi
589,Graphic Designer,Attention Deficit Hyperactivity Disorder,"Communication, Problem-Solving",Remote,965188,Remote Work Possible,Lucknow
590,Project Manager,Speech Impairment,"Networking, Security",Hybrid,1176565,Braille Support,Pune
591,Graphic Designer,Mental Health Condition,"Adobe Photoshop, Illustrator",On-site,793076,Wheelchair Access,Kolkata
592,HR Executive,Chronic Pain Condition,"Communication, Problem-Solving",On-site,1074691,Wheelchair Access,Hyderabad
593,Cybersecurity Analyst,Hearing Impairment,"Adobe Photoshop, Illustrator",Hybrid,1458222,Assistive Technology,Kolkata
594,Content Writer,Cognitive Impairment,"Communication, Problem-Solving",Hybrid,1243783,Assistive Technology,Kolkata
595,Teacher,Speech Impairment,"Excel, Power BI",On-site,844464,Assistive Technology,Lucknow
596,Customer Support,Learning Disability,"Recruitment, Employee Relations",On-site,1076460,Wheelchair Access,Mumbai
597,Content Writer,Chronic Illness,"Agile, Scrum",On-site,580899,Assistive Technology,Ahmedabad
598,Content Writer,Autism Spectrum Disorder,"Agile, Scrum",On-site,1120338,Assistive Technology,Delhi
599,Marketing Manager,Chronic Pain Condition,"Agile, Scrum",Remote,660798,Assistive Technology,Kolkata
600,Cybersecurity Analyst,Cognitive Impairment,"SEO, Social Media Marketing",Hybrid,578858,Sign Language Interpreter,Chennai
601,HR Executive,Speech Impairment,"Writing, Editing",Remote,1460120,Remote Work Possible,Delhi
602,Customer Support,Neurological Disorder,"Recruitment, Employee Relations",Remote,1320621,Remote Work Possible,Lucknow
603,Data Analyst,Cognitive Impairment,"Adobe Photoshop, Illustrator",On-site,1191513,Quiet Workspace,Delhi
604,Data Analyst,Learning Disability,"Writing, Editing",On-site,925859,Assistive Technology,Jaipur
605,Cybersecurity Analyst,Speech Impairment,"Adobe Photoshop, Illustrator",On-site,364021,Quiet Workspace,Pune
606,Teacher,Hearing Impairment,"Recruitment, Employee Relations",Remote,351686,Wheelchair Access,Mumbai
607,Cybersecurity Analyst,Autism Spectrum Disorder,"SEO, Social Media Marketing",On-site,430467,Wheelchair Access,Chennai
608,HR Executive,Neurological Disorder,"Python, SQL",Remote,321058,Voice-to-Text Software,Ahmedabad
609,Customer Support,Neurological Disorder,"Networking, Security",Hybrid,542983,Wheelchair Access,Hyderabad
610,Customer Support,Chronic Illness,"SEO, Social Media Marketing",Hybrid,752872,Remote Work Possible,Pune
611,Customer Support,Neurological Disorder,"Recruitment, Employee Relations",Remote,1455571,Braille Support,Chennai
612,Cybersecurity Analyst,Chronic Illness,"Recruitment, Employee Relations",On-site,346323,Flexible Hours,Mumbai
613,Content Writer,Mental Health Condition,"Communication, Problem-Solving",On-site,1445313,Braille Support,Hyderabad
614,Software Engineer,Chronic Illness,"Python, SQL",On-site,1445775,Braille Support,Hyderabad
615,Graphic Designer,Chronic Illness,"Communication, Problem-Solving",Hybrid,666221,Braille Support,Chennai
616,Cybersecurity Analyst,Autism Spectrum Disorder,"Communication, Problem-Solving",Hybrid,1198837,Wheelchair Access,Delhi
617,Content Writer,Chronic Illness,"Excel, Power BI",Remote,1051046,Remote Work Possible,Delhi
618,Marketing Manager,Neurological Disorder,"Agile, Scrum",Hybrid,1496976,Remote Work Possible,Delhi
619,Project Manager,Speech Impairment,"Agile, Scrum",On-site,997386,Remote Work Possible,Ahmedabad
620,Teacher,Chronic Pain Condition,"Communication, Problem-Solving",Remote,401358,Flexible Hours,Jaipur
621,Data Analyst,Attention Deficit Hyperactivity Disorder,"Recruitment, Employee Relations",Remote,1246247,Flexible Hours,Lucknow
622,Software Engineer,Motor Coordination Disorder,"SEO, Social Media Marketing",On-site,862712,Voice-to-Text Software,Ahmedabad
623,Marketing Manager,Attention Deficit Hyperactivity Disorder,"Python, SQL",Remote,601820,Assistive Technology,Delhi
624,Graphic Designer,Hearing Impairment,"Teaching, Curriculum Planning",Remote,725788,Voice-to-Text Software,Jaipur
625,Teacher,Hearing Impairment,"Adobe Photoshop, Illustrator",Hybrid,791790,Quiet Workspace,Jaipur
626,Customer Support,Physical Disability,"Adobe Photoshop, Illustrator",On-site,1244595,Assistive Technology,Ahmedabad
627,Project Manager,Learning Disability,"Excel, Power BI",On-site,778235,Sign Language Interpreter,Chennai
628,Graphic Designer,Motor Coordination Disorder,"Networking, Security",Hybrid,681895,Quiet Workspace,Mumbai
629,Customer Support,Attention Deficit Hyperactivity Disorder,"Communication, Problem-Solving",Remote,942334,Wheelchair Access,Jaipur
630,Teacher,Cognitive Impairment,"Communication, Problem-Solving",On-site,774649,Remote Work Possible,Ahmedabad
631,HR Executive,Physical Disability,"Writing, Editing",Remote,1060773,Sign Language Interpreter,Jaipur
632,Graphic Designer,Chronic Pain Condition,"Excel, Power BI",Remote,945888,Assistive Technology,Kolkata
633,Marketing Manager,Chronic Illness,"Agile, Scrum",On-site,1044101,Wheelchair Access,Mumbai
634,Graphic Designer,Visual Impairment,"Teaching, Curriculum Planning",Remote,1081002,Flexible Hours,Kolkata
635,Data Analyst,Autism Spectrum Disorder,"Agile, Scrum",On-site,632534,Sign Language Interpreter,Chennai
636,Teacher,Neurological Disorder,"Teaching, Curriculum Planning",Hybrid,1041422,Assistive Technology,Ahmedabad
637,Project Manager,Autism Spectrum Disorder,"SEO, Social Media Marketing",Remote,920600,Braille Support,Kolkata
638,Teacher,Chronic Illness,"Excel, Power BI",Hybrid,347656,Voice-to-Text Software,Delhi
639,Teacher,Neurological Disorder,"Agile, Scrum",Remote,623758,Braille Support,Mumbai
640,Customer Support,Attention Deficit Hyperactivity Disorder,"Communication, Problem-Solving",Remote,814661,Flexible Hours,Jaipur
641,Data Analyst,Chronic Pain Condition,"Recruitment, Employee Relations",Hybrid,1063877,Assistive Technology,Lucknow
642,Content Writer,Autism Spectrum Disorder,"Agile, Scrum",Hybrid,448884,Voice-to-Text Software,Ahmedabad
643,Customer Support,Cognitive Impairment,"Writing, Editing",Hybrid,1078673,Sign Language Interpreter,Pune
644,Software Engineer,Learning Disability,"SEO, Social Media Marketing",Remote,1479460,Wheelchair Access,Kolkata
645,Teacher,Physical Disability,"Writing, Editing",On-site,503601,Voice-to-Text Software,Hyderabad
646,Project Manager,Attention Deficit Hyperactivity Disorder,"SEO, Social Media Marketing",Remote,1114041,Assistive Technology,Ahmedabad
647,HR Executive,Speech Impairment,"Networking, Security",Hybrid,1049172,Flexible Hours,Pune
648,Data Analyst,Autism Spectrum Disorder,"Communication, Problem-Solving",On-site,1453926,Remote Work Possible,Mumbai
649,Data Analyst,Chronic Illness,"Python, SQL",Hybrid,612820,Remote Work Possible,Mumbai
650,Cybersecurity Analyst,Chronic Pain Condition,"Excel, Power BI",Hybrid,551668,Quiet Workspace,Jaipur
651,HR Executive,Chronic Illness,"Adobe Photoshop, Illustrator",On-site,715597,Wheelchair Access,Mumbai
652,Graphic Designer,Physical Disability,"Teaching, Curriculum Planning",Remote,1110455,Voice-to-Text Software,Ahmedabad
653,Cybersecurity Analyst,Physical Disability,"Excel, Power BI",Remote,1018307,Flexible Hours,Jaipur
654,Project Manager,Hearing Impairment,"Python, SQL",Remote,1493894,Sign Language Interpreter,Ahmedabad
655,Data Analyst,Physical Disability,"Agile, Scrum",Hybrid,444474,Wheelchair Access,Lucknow
656,Customer Support,Cognitive Impairment,"Teaching, Curriculum Planning",On-site,446423,Braille Support,Jaipur
657,Data Analyst,Mental Health Condition,"Writing, Editing",Remote,383181,Voice-to-Text Software,Mumbai
658,Cybersecurity Analyst,Cognitive Impairment,"Networking, Security",On-site,1138566,Quiet Workspace,Bangalore
659,Marketing Manager,Learning Disability,"Communication, Problem-Solving",Remote,694600,Braille Support,Ahmedabad
660,Project Manager,Mental Health Condition,"Networking, Security",Hybrid,327649,Braille Support,Jaipur
661,Project Manager,Cognitive Impairment,"Excel, Power BI",On-site,1110656,Assistive Technology,Kolkata
662,Customer Support,Visual Impairment,"Networking, Security",Hybrid,778720,Sign Language Interpreter,Bangalore
663,Customer Support,Mental Health Condition,"Excel, Power BI",On-site,1328423,Assistive Technology,Pune
664,Content Writer,Autism Spectrum Disorder,"Python, SQL",On-site,956565,Sign Language Interpreter,Jaipur
665,Marketing Manager,Hearing Impairment,"SEO, Social Media Marketing",Hybrid,607242,Assistive Technology,Chennai
666,Graphic Designer,Visual Impairment,"Agile, Scrum",Remote,916646,Voice-to-Text Software,Ahmedabad
667,Project Manager,Hearing Impairment,"SEO, Social Media Marketing",Hybrid,698022,Flexible Hours,Jaipur
668,Graphic Designer,Physical Disability,"Adobe Photoshop, Illustrator",Hybrid,587100,Sign Language Interpreter,Bangalore
669,Content Writer,Hearing Impairment,"Writing, Editing",Hybrid,931134,Remote Work Possible,Mumbai
670,HR Executive,Neurological Disorder,"Writing, Editing",On-site,1351596,Flexible Hours,Pune
671,HR Executive,Learning Disability,"Recruitment, Employee Relations",On-site,1234593,Assistive Technology,Pune
672,Graphic Designer,Visual Impairment,"Recruitment, Employee Relations",Hybrid,1037813,Wheelchair Access,Hyderabad
673,Data Analyst,Chronic Pain Condition,"Teaching, Curriculum Planning",Hybrid,829434,Braille Support,Mumbai
674,HR Executive,Attention Deficit Hyperactivity Disorder,"Writing, Editing",On-site,440538,Flexible Hours,Kolkata
675,Marketing Manager,Speech Impairment,"Communication, Problem-Solving",On-site,494539,Sign Language Interpreter,Bangalore
676,Project Manager,Motor Coordination Disorder,"Communication, Problem-Solving",On-site,1437730,Assistive Technology,Kolkata
677,Software Engineer,Cognitive Impairment,"Agile, Scrum",On-site,997432,Remote Work Possible,Ahmedabad
678,Project Manager,Attention Deficit Hyperactivity Disorder,"Teaching, Curriculum Planning",On-site,480541,Assistive Technology,Lucknow
679,Graphic Designer,Visual Impairment,"SEO, Social Media Marketing",On-site,597695,Quiet Workspace,Hyderabad
680,Marketing Manager,Autism Spectrum Disorder,"SEO, Social Media Marketing",Hybrid,1276234,Quiet Workspace,Pune
681,Project Manager,Visual Impairment,"Communication, Problem-Solving",On-site,473841,Remote Work Possible,Pune
682,Teacher,Attention Deficit Hyperactivity Disorder,"Writing, Editing",On-site,750473,Assistive Technology,Kolkata
683,Customer Support,Autism Spectrum Disorder,"Agile, Scrum",Hybrid,1474692,Voice-to-Text Software,Jaipur
684,Project Manager,Cognitive Impairment,"Teaching, Curriculum Planning",Remote,547543,Voice-to-Text Software,Chennai
685,Data Analyst,Learning Disability,"Communication, Problem-Solving",Remote,436431,Wheelchair Access,Jaipur
686,Teacher,Learning Disability,"Writing, Editing",Hybrid,1100015,Voice-to-Text Software,Mumbai
687,Teacher,Chronic Illness,"Python, SQL",Hybrid,937109,Wheelchair Access,Hyderabad
688,Project Manager,Autism Spectrum Disorder,"Writing, Editing",On-site,778686,Quiet Workspace,Pune
689,Content Writer,Attention Deficit Hyperactivity Disorder,"Python, SQL",Remote,1400118,Voice-to-Text Software,Delhi
690,Cybersecurity Analyst,Attention Deficit Hyperactivity Disorder,"Writing, Editing",Hybrid,440096,Remote Work Possible,Mumbai
691,Software Engineer,Motor Coordination Disorder,"Excel, Power BI",On-site,1133903,Remote Work Possible,Bangalore
692,Project Manager,Attention Deficit Hyperactivity Disorder,"Communication, Problem-Solving",Hybrid,1045879,Remote Work Possible,Jaipur
693,Software Engineer,Mental Health Condition,"Excel, Power BI",Hybrid,563869,Quiet Workspace,Ahmedabad
694,Project Manager,Cognitive Impairment,"Teaching, Curriculum Planning",Remote,349873,Sign Language Interpreter,Jaipur
695,Cybersecurity Analyst,Autism Spectrum Disorder,"Networking, Security",On-site,818692,Braille Support,Mumbai
696,Cybersecurity Analyst,Chronic Illness,"Communication, Problem-Solving",On-site,1240482,Wheelchair Access,Mumbai
697,Marketing Manager,Learning Disability,"Teaching, Curriculum Planning",Remote,587270,Sign Language Interpreter,Jaipur
698,Software Engineer,Physical Disability,"Networking, Security",On-site,611838,Wheelchair Access,Mumbai
699,Data Analyst,Motor Coordination Disorder,"Python, SQL",On-site,1333484,Voice-to-Text Software,Ahmedabad
700,Project Manager,Cognitive Impairment,"Writing, Editing",Hybrid,586587,Sign Language Interpreter,Hyderabad
701,Teacher,Neurological Disorder,"Python, SQL",Remote,578334,Wheelchair Access,Delhi
702,Content Writer,Neurological Disorder,"Communication, Problem-Solving",Remote,946535,Flexible Hours,Lucknow
703,Marketing Manager,Hearing Impairment,"Recruitment, Employee Relations",On-site,1161154,Flexible Hours,Ahmedabad
704,Cybersecurity Analyst,Physical Disability,"Python, SQL",Remote,923392,Voice-to-Text Software,Ahmedabad
705,Content Writer,Physical Disability,"Excel, Power BI",Remote,1448784,Flexible Hours,Ahmedabad
706,Cybersecurity Analyst,Mental Health Condition,"Recruitment, Employee Relations",Remote,382197,Remote Work Possible,Kolkata
707,Marketing Manager,Speech Impairment,"Teaching, Curriculum Planning",Hybrid,1080543,Quiet Workspace,Lucknow
708,Project Manager,Physical Disability,"Communication, Problem-Solving",Remote,494875,Braille Support,Mumbai
709,Teacher,Attention Deficit Hyperactivity Disorder,"Teaching, Curriculum Planning",Remote,1075180,Braille Support,Jaipur
710,Content Writer,Chronic Pain Condition,"Python, SQL",Hybrid,970563,Quiet Workspace,Chennai
711,Project Manager,Mental Health Condition,"Excel, Power BI",Remote,959438,Voice-to-Text Software,Mumbai
712,Graphic Designer,Motor Coordination Disorder,"Excel, Power BI",Remote,962809,Assistive Technology,Hyderabad
713,HR Executive,Cognitive Impairment,"Adobe Photoshop, Illustrator",On-site,1492845,Wheelchair Access,Kolkata
714,HR Executive,Attention Deficit Hyperactivity Disorder,"Recruitment, Employee Relations",Hybrid,1321738,Sign Language Interpreter,Chennai
715,Project Manager,Cognitive Impairment,"Adobe Photoshop, Illustrator",On-site,823418,Remote Work Possible,Kolkata
716,Software Engineer,Cognitive Impairment,"Adobe Photoshop, Illustrator",Remote,1462943,Flexible Hours,Lucknow
717,Marketing Manager,Autism Spectrum Disorder,"Communication, Problem-Solving",Hybrid,597094,Quiet Workspace,Kolkata
718,Content Writer,Learning Disability,"SEO, Social Media Marketing",Remote,966902,Assistive Technology,Kolkata
719,Content Writer,Attention Deficit Hyperactivity Disorder,"Excel, Power BI",On-site,1100967,Remote Work Possible,Kolkata
720,Project Manager,Attention Deficit Hyperactivity Disorder,"Excel, Power BI",Hybrid,1094011,Assistive Technology,Hyderabad
721,HR Executive,Chronic Pain Condition,"Writing, Editing",Hybrid,1084329,Flexible Hours,Delhi
722,Software Engineer,Attention Deficit Hyperactivity Disorder,"Recruitment, Employee Relations",On-site,634130,Voice-to-Text Software,Pune
723,Software Engineer,Chronic Illness,"Recruitment, Employee Relations",Remote,1202083,Wheelchair Access,Chennai
724,Data Analyst,Neurological Disorder,"Agile, Scrum",On-site,385809,Braille Support,Bangalore
725,Marketing Manager,Physical Disability,"Communication, Problem-Solving",Hybrid,789981,Remote Work Possible,Delhi
726,Cybersecurity Analyst,Learning Disability,"Adobe Photoshop, Illustrator",Hybrid,1147204,Assistive Technology,Pune
727,Cybersecurity Analyst,Chronic Pain Condition,"Agile, Scrum",On-site,1197435,Flexible Hours,Chennai
728,Teacher,Autism Spectrum Disorder,"Networking, Security",On-site,1196366,Voice-to-Text Software,Ahmedabad
729,Customer Support,Chronic Pain Condition,"Excel, Power BI",Remote,987040,Sign Language Interpreter,Lucknow
730,Teacher,Autism Spectrum Disorder,"SEO, Social Media Marketing",Hybrid,929495,Voice-to-Text Software,Pune
731,Teacher,Attention Deficit Hyperactivity Disorder,"Adobe Photoshop, Illustrator",On-site,1041625,Quiet Workspace,Bangalore
732,Project Manager,Neurological Disorder,"Teaching, Curriculum Planning",Remote,1240595,Flexible Hours,Hyderabad
733,Customer Support,Attention Deficit Hyperactivity Disorder,"Python, SQL",Remote,1266036,Voice-to-Text Software,Pune
734,Customer Support,Neurological Disorder,"Teaching, Curriculum Planning",Hybrid,1210699,Flexible Hours,Chennai
735,Data Analyst,Learning Disability,"Excel, Power BI",Remote,1142628,Voice-to-Text Software,Jaipur
736,Data Analyst,Hearing Impairment,"Writing, Editing",On-site,309931,Remote Work Possible,Hyderabad
737,Marketing Manager,Mental Health Condition,"Recruitment, Employee Relations",Hybrid,1355338,Assistive Technology,Lucknow
738,Project Manager,Speech Impairment,"Agile, Scrum",Hybrid,1147718,Quiet Workspace,Hyderabad
739,Customer Support,Neurological Disorder,"Recruitment, Employee Relations",Remote,450464,Voice-to-Text Software,Chennai
740,Customer Support,Mental Health Condition,"Communication, Problem-Solving",Hybrid,1338486,Braille Support,Bangalore
741,Project Manager,Cognitive Impairment,"Teaching, Curriculum Planning",Hybrid,302119,Wheelchair Access,Kolkata
742,Cybersecurity Analyst,Mental Health Condition,"Networking, Security",Hybrid,945534,Voice-to-Text Software,Pune
743,Data Analyst,Mental Health Condition,"Excel, Power BI",Remote,859340,Flexible Hours,Mumbai
744,Data Analyst,Physical Disability,"Teaching, Curriculum Planning",On-site,1102384,Remote Work Possible,Lucknow
745,Customer Support,Speech Impairment,"Networking, Security",Remote,1050010,Remote Work Possible,Delhi
746,Marketing Manager,Cognitive Impairment,"SEO, Social Media Marketing",On-site,576169,Voice-to-Text Software,Chennai
747,Data Analyst,Neurological Disorder,"Agile, Scrum",Hybrid,666453,Remote Work Possible,Pune
748,Software Engineer,Chronic Pain Condition,"SEO, Social Media Marketing",Remote,1002441,Flexible Hours,Hyderabad
749,Graphic Designer,Cognitive Impairment,"Excel, Power BI",Remote,511630,Flexible Hours,Mumbai
750,Teacher,Learning Disability,"Python, SQL",On-site,1283419,Quiet Workspace,Pune
751,Data Analyst,Cognitive Impairment,"Teaching, Curriculum Planning",Remote,996277,Wheelchair Access,Mumbai
752,Data Analyst,Mental Health Condition,"Excel, Power BI",On-site,1343212,Remote Work Possible,Chennai
753,HR Executive,Autism Spectrum Disorder,"Python, SQL",Remote,1153375,Assistive Technology,Jaipur
754,Graphic Designer,Learning Disability,"Writing, Editing",On-site,1217325,Quiet Workspace,Pune
755,Customer Support,Learning Disability,"Adobe Photoshop, Illustrator",Remote,414585,Quiet Workspace,Delhi
756,Data Analyst,Autism Spectrum Disorder,"Python, SQL",On-site,1124618,Assistive Technology,Kolkata
757,Cybersecurity Analyst,Autism Spectrum Disorder,"SEO, Social Media Marketing",Remote,1147686,Sign Language Interpreter,Mumbai
758,Marketing Manager,Autism Spectrum Disorder,"SEO, Social Media Marketing",Remote,1389737,Assistive Technology,Delhi
759,Graphic Designer,Mental Health Condition,"Writing, Editing",On-site,1086983,Remote Work Possible,Jaipur
760,Data Analyst,Speech Impairment,"Excel, Power BI",Remote,1239797,Wheelchair Access,Ahmedabad
761,Content Writer,Motor Coordination Disorder,"Python, SQL",Remote,1363614,Assistive Technology,Lucknow
762,Data Analyst,Cognitive Impairment,"Recruitment, Employee Relations",On-site,790091,Assistive Technology,Mumbai
763,Data Analyst,Physical Disability,"SEO, Social Media Marketing",Hybrid,1152452,Flexible Hours,Delhi
764,Marketing Manager,Chronic Pain Condition,"Writing, Editing",Remote,668178,Voice-to-Text Software,Jaipur
765,Customer Support,Autism Spectrum Disorder,"Python, SQL",Remote,677467,Remote Work Possible,Kolkata
766,Teacher,Motor Coordination Disorder,"Recruitment, Employee Relations",Remote,1088825,Braille Support,Kolkata
767,Data Analyst,Chronic Pain Condition,"Adobe Photoshop, Illustrator",Remote,1058790,Wheelchair Access,Jaipur
768,Customer Support,Physical Disability,"Communication, Problem-Solving",Remote,1037937,Wheelchair Access,Hyderabad
769,Project Manager,Physical Disability,"Excel, Power BI",Hybrid,465814,Wheelchair Access,Ahmedabad
770,Customer Support,Chronic Illness,"Communication, Problem-Solving",Remote,1052669,Remote Work Possible,Ahmedabad
771,Teacher,Chronic Pain Condition,"Communication, Problem-Solving",Remote,1034525,Quiet Workspace,Hyderabad
772,Software Engineer,Chronic Illness,"Python, SQL",Remote,999689,Quiet Workspace,Chennai
773,Teacher,Neurological Disorder,"Adobe Photoshop, Illustrator",Remote,963309,Quiet Workspace,Jaipur
774,Data Analyst,Learning Disability,"Networking, Security",On-site,577199,Braille Support,Ahmedabad
775,Graphic Designer,Attention Deficit Hyperactivity Disorder,"Recruitment, Employee Relations",Hybrid,339212,Braille Support,Pune
776,Data Analyst,Speech Impairment,"Recruitment, Employee Relations",Hybrid,887061,Assistive Technology,Pune
777,Customer Support,Physical Disability,"Python, SQL",On-site,520626,Quiet Workspace,Hyderabad
778,Marketing Manager,Chronic Illness,"SEO, Social Media Marketing",Remote,828159,Braille Support,Kolkata
779,Cybersecurity Analyst,Chronic Pain Condition,"Writing, Editing",On-site,1438471,Assistive Technology,Delhi
780,Cybersecurity Analyst,Physical Disability,"Agile, Scrum",On-site,936994,Flexible Hours,Jaipur
781,Marketing Manager,Neurological Disorder,"Communication, Problem-Solving",Remote,768241,Braille Support,Ahmedabad
782,Cybersecurity Analyst,Neurological Disorder,"Python, SQL",Remote,685621,Voice-to-Text Software,Kolkata
783,Customer Support,Motor Coordination Disorder,"Teaching, Curriculum Planning",On-site,705860,Flexible Hours,Bangalore
784,Marketing Manager,Neurological Disorder,"Agile, Scrum",On-site,1349603,Remote Work Possible,Delhi
785,Graphic Designer,Visual Impairment,"Python, SQL",Remote,1429815,Remote Work Possible,Delhi
